SampleYear,SpeciesID,SpecimenID,DoubleReadSampleID,Original_Age_Estimate,Original_AgerID,DoubleRead_Age_Estimate,DoubleRead_AgerID
2004,BSKT,WA04001-BSKT-1,1762,4,reader1,4,reader2
2004,BSKT,WA04002-BSKT-2,1762,5,reader1,4,reader2
2004,BSKT,WA04002-BSKT-6,1762,6,reader1,5,reader2
2007,BSKT,OR070174-BSKT-5,1726,7,reader1,7,reader2
2007,BSKT,OR070174-BSKT-7,1726,8,reader1,7,reader2
2007,BSKT,OR070177-BSKT-1,1726,6,reader1,5,reader2
2007,BSKT,OR070177-BSKT-15,1726,8,reader1,10,reader2
2007,BSKT,OR070177-BSKT-5,1726,7,reader1,8,reader2
2008,BSKT,OR084005-BSKT-10,1726,7,reader1,12,reader2
2008,BSKT,OR084005-BSKT-2,1726,9,reader1,10,reader2
2008,BSKT,OR084008-BSKT-1,1726,6,reader1,6,reader2
2008,BSKT,OR084008-BSKT-3,1726,7,reader1,7,reader2
2008,BSKT,OR084009-BSKT-1,1726,5,reader1,5,reader2
2008,BSKT,OR084011-BSKT-1,1726,6,reader1,6,reader2
2008,BSKT,OR084011-BSKT-9,1726,4,reader1,5,reader2
2008,BSKT,OR084013-BSKT-4,1726,6,reader1,6,reader2
2008,BSKT,OR084013-BSKT-7,1726,9,reader1,9,reader2
2008,BSKT,OR084015-BSKT-1,1726,5,reader1,4,reader2
2008,BSKT,OR084015-BSKT-10,1726,3,reader1,3,reader2
2008,BSKT,OR084015-BSKT-2,1726,6,reader1,7,reader2
2008,BSKT,OR084015-BSKT-7,1726,6,reader1,6,reader2
2008,BSKT,OR084018-BSKT-4,1726,2,reader1,3,reader2
2008,BSKT,OR084018-BSKT-7,1726,7,reader1,6,reader2
2008,BSKT,OR084020-BSKT-5,1726,8,reader1,8,reader2
2009,BSKT,100030652,1747,3,reader1,3,reader2
2009,BSKT,100030658,1747,4,reader1,4,reader2
2009,BSKT,100030660,1747,3,reader1,3,reader2
2009,BSKT,100030662,1747,5,reader1,5,reader2
2009,BSKT,100030664,1747,8,reader1,8,reader2
2009,BSKT,100030668,1747,3,reader1,2,reader2
2009,BSKT,100030685,1747,1,reader1,1,reader2
2009,BSKT,100030693,1747,3,reader1,3,reader2
2009,BSKT,100030700,1747,8,reader1,7,reader2
2009,BSKT,100030703,1747,4,reader1,4,reader2
2009,BSKT,100030710,1747,1,reader1,1,reader2
2009,BSKT,100030717,1747,2,reader1,2,reader2
2009,BSKT,100030719,1747,2,reader1,2,reader2
2009,BSKT,100030724,1747,1,reader1,1,reader2
2009,BSKT,100030727,1747,1,reader1,1,reader2
2009,BSKT,100030731,1747,2,reader1,2,reader2
2009,BSKT,100030745,1747,6,reader1,7,reader2
2009,BSKT,100030747,1747,4,reader1,5,reader2
2009,BSKT,100030760,1747,6,reader1,6,reader2
2009,BSKT,100030765,1747,3,reader1,3,reader2
2009,BSKT,100030770,1747,5,reader1,5,reader2
2009,BSKT,100030772,1747,3,reader1,3,reader2
2009,BSKT,100030781,1747,1,reader1,0,reader2
2009,BSKT,100030786,1747,1,reader1,1,reader2
2009,BSKT,100161987,1747,3,reader1,3,reader2
2009,BSKT,100161990,1747,1,reader1,0,reader2
2009,BSKT,100161993,1747,1,reader1,1,reader2
2009,BSKT,100161994,1747,3,reader1,2,reader2
2009,BSKT,100161995,1747,1,reader1,0,reader2
2009,BSKT,100161998,1747,2,reader1,1,reader2
2009,BSKT,100171987,1747,2,reader1,2,reader2
2009,BSKT,100171992,1747,2,reader1,2,reader2
2009,BSKT,100171995,1747,3,reader1,3,reader2
2009,BSKT,100171996,1747,3,reader1,3,reader2
2009,BSKT,100171998,1747,13,reader1,13,reader2
2009,BSKT,100172000,1747,7,reader1,6,reader2
2009,BSKT,100187993,1747,3,reader1,4,reader2
2009,BSKT,100187994,1747,4,reader1,5,reader2
2009,BSKT,100187996,1747,2,reader1,2,reader2
2009,BSKT,100188983,1747,4,reader1,4,reader2
2009,BSKT,100188984,1747,5,reader1,5,reader2
2009,BSKT,100188986,1747,3,reader1,3,reader2
2009,BSKT,100188989,1747,5,reader1,4,reader2
2009,BSKT,100188992,1747,3,reader1,2,reader2
2009,BSKT,100188993,1747,2,reader1,2,reader2
2009,BSKT,100195047,1747,1,reader1,0,reader2
2009,BSKT,100195072,1747,2,reader1,2,reader2
2009,BSKT,OR095003-BSKT-2,1726,8,reader1,8,reader2
2009,BSKT,OR095006-BSKT-1,1726,8,reader1,9,reader2
2009,BSKT,OR095007-BSKT-10,1726,6,reader1,4,reader2
2009,BSKT,OR095007-BSKT-5,1726,8,reader1,8,reader2
2009,BSKT,OR095007-BSKT-7,1726,5,reader1,6,reader2
2009,BSKT,OR095007-BSKT-8,1726,5,reader1,6,reader2
2009,BSKT,OR095009-BSKT-6,1726,2,reader1,3,reader2
2009,BSKT,OR095014-BSKT-1,1726,7,reader1,7,reader2
2009,BSKT,OR095014-BSKT-4,1726,4,reader1,4,reader2
2009,BSKT,OR095014-BSKT-5,1726,9,reader1,9,reader2
2009,BSKT,OR095014-BSKT-6,1726,4,reader1,5,reader2
2009,BSKT,OR095017-BSKT-6,1726,9,reader1,8,reader2
2009,BSKT,OR095017-BSKT-8,1726,12,reader1,12,reader2
2009,BSKT,OR095019-BSKT-4,1726,9,reader1,8,reader2
2009,BSKT,OR095020-BSKT-9,1726,6,reader1,6,reader2
2009,BSKT,OR095041-BSKT-1,1726,7,reader1,8,reader2
2009,BSKT,OR095041-BSKT-10,1726,5,reader1,5,reader2
2009,BSKT,OR095041-BSKT-5,1726,10,reader1,8,reader2
2009,BSKT,WA09002-BSKT-7,1762,3,reader1,3,reader2
2009,BSKT,WA09003-BSKT-10,1762,4,reader1,4,reader2
2009,BSKT,WA09003-BSKT-12,1762,4,reader1,4,reader2
