Range_of_ages
0 9

Data_set_1
27
2 
0 9 5                               # minus group; plus group; reference age
        1       2          3       4       5       6
1	0	0	-999	-999	-999	-999
112	1	1	-999	-999	-999	-999
22	1	2	-999	-999	-999	-999
1	1	4	-999	-999	-999	-999
13	2	1	-999	-999	-999	-999
689	2	2	-999	-999	-999	-999
33	2	3	-999	-999	-999	-999
74	3	2	-999	-999	-999	-999
560	3	3	-999	-999	-999	-999
27	3	4	-999	-999	-999	-999
1	4	2	-999	-999	-999	-999
26	4	3	-999	-999	-999	-999
162	4	4	-999	-999	-999	-999
13	4	5	-999	-999	-999	-999
13	5	4	-999	-999	-999	-999
74	5	5	-999	-999	-999	-999
5	5	6	-999	-999	-999	-999
1	6	4	-999	-999	-999	-999
1	6	5	-999	-999	-999	-999
32	6	6	-999	-999	-999	-999
2	6	7	-999	-999	-999	-999
1	7	6	-999	-999	-999	-999
12	7	7	-999	-999	-999	-999
1	7	8	-999	-999	-999	-999
1	8	7	-999	-999	-999	-999
4	8	8	-999	-999	-999	-999
1	9	9	-999	-999	-999	-999


Data_set_2
23
2 
0 9 5                               # minus group; plus group; reference age
        3       4          1       2       5       6
4	0	0	-999	-999	-999	-999
1	1	0	-999	-999	-999	-999
25	1	1	-999	-999	-999	-999
2	1	2	-999	-999	-999	-999
7	2	1	-999	-999	-999	-999
108	2	2	-999	-999	-999	-999
10	2	3	-999	-999	-999	-999
15	3	2	-999	-999	-999	-999
70	3	3	-999	-999	-999	-999
2	3	4	-999	-999	-999	-999
5	4	3	-999	-999	-999	-999
46	4	4	-999	-999	-999	-999
2	4	5	-999	-999	-999	-999
3	5	4	-999	-999	-999	-999
29	5	5	-999	-999	-999	-999
1	5	6	-999	-999	-999	-999
1	6	5	-999	-999	-999	-999
15	6	6	-999	-999	-999	-999
3	6	7	-999	-999	-999	-999
1	7	6	-999	-999	-999	-999
13	7	7	-999	-999	-999	-999
1	8	7	-999	-999	-999	-999
2	8	8	-999	-999	-999	-999

Data_set_3
22
2 
0 9 5                               # minus group; plus group; reference age
                5       6          1       2          3       4       
        11	1	1	-999	-999	-999	-999
	2	1	2	-999	-999	-999	-999
	1	1	3	-999	-999	-999	-999
	8	2	1	-999	-999	-999	-999
	122	2	2	-999	-999	-999	-999
	5	2	3	-999	-999	-999	-999
	10	3	2	-999	-999	-999	-999
	115	3	3	-999	-999	-999	-999
	9	3	4	-999	-999	-999	-999
	3	3	5	-999	-999	-999	-999
	8	4	3	-999	-999	-999	-999
	41	4	4	-999	-999	-999	-999
	1	4	5	-999	-999	-999	-999
	1	4	6	-999	-999	-999	-999
	5	5	4	-999	-999	-999	-999
	25	5	5	-999	-999	-999	-999
	1	5	6	-999	-999	-999	-999
	1	6	5	-999	-999	-999	-999
	13	6	6	-999	-999	-999	-999
	1	6	7	-999	-999	-999	-999
	1	6	8	-999	-999	-999	-999
	1	8	7	-999	-999	-999	-999
