Range_of_ages
1 100

Data_set_1
2494                                 # data points
6                                    # readers
1 50 4                               # minus group; plus group; reference age
   1  2    3    4    5    6
1 65 66 -999 -999 -999 -999
1 61 66 -999 -999 -999 -999
1 72 65 -999 -999 -999 -999
1 68 63 -999 -999 -999 -999
1 58 61 -999 -999 -999 -999
1 64 60 -999 -999 -999 -999
1 59 60 -999 -999 -999 -999
1 47 59 -999 -999 -999 -999
1 51 58 -999 -999 -999 -999
1 66 58 -999 -999 -999 -999
1 64 57 -999 -999 -999 -999
1 65 57 -999 -999 -999 -999
1 57 57 -999 -999 -999 -999
1 52 56 -999 -999 -999 -999
1 45 55 -999 -999 -999 -999
1 48 55 -999 -999 -999 -999
1 60 54 -999 -999 -999 -999
1 52 54 -999 -999 -999 -999
1 58 53 -999 -999 -999 -999
1 54 53 -999 -999 -999 -999
1 42 53 -999 -999 -999 -999
1 55 53 -999 -999 -999 -999
1 48 52 -999 -999 -999 -999
1 40 51 -999 -999 -999 -999
3 49 51 -999 -999 -999 -999
1 39 51 -999 -999 -999 -999
1 43 51 -999 -999 -999 -999
1 57 51 -999 -999 -999 -999
1 43 50 -999 -999 -999 -999
1 49 50 -999 -999 -999 -999
1 48 50 -999 -999 -999 -999
1 46 49 -999 -999 -999 -999
1 53 49 -999 -999 -999 -999
1 49 49 -999 -999 -999 -999
1 41 49 -999 -999 -999 -999
1 26 49 -999 -999 -999 -999
1 20 49 -999 -999 -999 -999
1 47 49 -999 -999 -999 -999
1 51 49 -999 -999 -999 -999
1 34 48 -999 -999 -999 -999
2 37 48 -999 -999 -999 -999
1 53 48 -999 -999 -999 -999
1 25 48 -999 -999 -999 -999
1 64 48 -999 -999 -999 -999
1 42 48 -999 -999 -999 -999
1 63 48 -999 -999 -999 -999
2 48 48 -999 -999 -999 -999
1 52 48 -999 -999 -999 -999
1 50 48 -999 -999 -999 -999
1 43 47 -999 -999 -999 -999
2 40 47 -999 -999 -999 -999
1 50 47 -999 -999 -999 -999
2 48 47 -999 -999 -999 -999
2 54 47 -999 -999 -999 -999
1 44 47 -999 -999 -999 -999
2 39 47 -999 -999 -999 -999
2 51 47 -999 -999 -999 -999
1 47 47 -999 -999 -999 -999
1 32 47 -999 -999 -999 -999
2 46 46 -999 -999 -999 -999
1 47 46 -999 -999 -999 -999
1 52 46 -999 -999 -999 -999
1 37 46 -999 -999 -999 -999
1 45 46 -999 -999 -999 -999
1 48 46 -999 -999 -999 -999
1 39 46 -999 -999 -999 -999
1 49 45 -999 -999 -999 -999
1 43 45 -999 -999 -999 -999
1 44 45 -999 -999 -999 -999
1 51 45 -999 -999 -999 -999
1 39 44 -999 -999 -999 -999
2 46 44 -999 -999 -999 -999
1 36 44 -999 -999 -999 -999
2 43 44 -999 -999 -999 -999
1 38 44 -999 -999 -999 -999
1 27 44 -999 -999 -999 -999
1 47 44 -999 -999 -999 -999
1 54 44 -999 -999 -999 -999
1 50 44 -999 -999 -999 -999
1 31 43 -999 -999 -999 -999
1 43 43 -999 -999 -999 -999
1 50 43 -999 -999 -999 -999
1 46 43 -999 -999 -999 -999
1 59 43 -999 -999 -999 -999
1 47 43 -999 -999 -999 -999
1 42 43 -999 -999 -999 -999
2 43 42 -999 -999 -999 -999
1 42 42 -999 -999 -999 -999
1 41 42 -999 -999 -999 -999
2 37 42 -999 -999 -999 -999
1 39 42 -999 -999 -999 -999
1 38 42 -999 -999 -999 -999
1 32 42 -999 -999 -999 -999
1 47 42 -999 -999 -999 -999
1 44 42 -999 -999 -999 -999
2 37 41 -999 -999 -999 -999
2 39 41 -999 -999 -999 -999
2 47 41 -999 -999 -999 -999
1 22 41 -999 -999 -999 -999
1 34 41 -999 -999 -999 -999
1 45 41 -999 -999 -999 -999
1 31 41 -999 -999 -999 -999
1 44 41 -999 -999 -999 -999
2 40 40 -999 -999 -999 -999
1 33 40 -999 -999 -999 -999
1 34 40 -999 -999 -999 -999
1 42 40 -999 -999 -999 -999
1 31 40 -999 -999 -999 -999
1 45 40 -999 -999 -999 -999
1 41 40 -999 -999 -999 -999
1 36 40 -999 -999 -999 -999
2 24 40 -999 -999 -999 -999
1 43 40 -999 -999 -999 -999
1 37 40 -999 -999 -999 -999
1 28 40 -999 -999 -999 -999
1 29 40 -999 -999 -999 -999
2 36 39 -999 -999 -999 -999
4 32 39 -999 -999 -999 -999
2 31 39 -999 -999 -999 -999
2 43 39 -999 -999 -999 -999
1 33 39 -999 -999 -999 -999
3 37 39 -999 -999 -999 -999
1 29 39 -999 -999 -999 -999
1 38 39 -999 -999 -999 -999
1 35 39 -999 -999 -999 -999
1 27 39 -999 -999 -999 -999
1 45 39 -999 -999 -999 -999
1 41 39 -999 -999 -999 -999
1 30 38 -999 -999 -999 -999
1 29 38 -999 -999 -999 -999
2 26 38 -999 -999 -999 -999
1 35 38 -999 -999 -999 -999
1 41 38 -999 -999 -999 -999
1 27 38 -999 -999 -999 -999
1 38 38 -999 -999 -999 -999
1 45 38 -999 -999 -999 -999
1 31 38 -999 -999 -999 -999
1 34 38 -999 -999 -999 -999
1 43 38 -999 -999 -999 -999
3 32 37 -999 -999 -999 -999
1 30 37 -999 -999 -999 -999
1 26 37 -999 -999 -999 -999
3 34 37 -999 -999 -999 -999
2 37 37 -999 -999 -999 -999
1 48 37 -999 -999 -999 -999
2 39 37 -999 -999 -999 -999
2 33 37 -999 -999 -999 -999
1 44 37 -999 -999 -999 -999
1 35 37 -999 -999 -999 -999
1 40 37 -999 -999 -999 -999
1 18 37 -999 -999 -999 -999
1 42 37 -999 -999 -999 -999
1 46 37 -999 -999 -999 -999
3 32 36 -999 -999 -999 -999
1 35 36 -999 -999 -999 -999
2 31 36 -999 -999 -999 -999
1 30 36 -999 -999 -999 -999
1 25 36 -999 -999 -999 -999
1 40 36 -999 -999 -999 -999
2 43 36 -999 -999 -999 -999
2 36 36 -999 -999 -999 -999
1 33 36 -999 -999 -999 -999
1 27 36 -999 -999 -999 -999
1 20 36 -999 -999 -999 -999
2 39 36 -999 -999 -999 -999
1 18 36 -999 -999 -999 -999
1 28 36 -999 -999 -999 -999
3 45 36 -999 -999 -999 -999
1 38 36 -999 -999 -999 -999
